year,month,occupation_title,ai_exposure,ai_complementarity,labour_force,employment,full_time_employment,part_time_employment,unemployment,unemployment_rate
2012,6,Management occupations,High,High,1705,1676.3,1557.2,119.1,28.7,1.7
2012,7,Management occupations,High,High,1721.8,1688.5,1572,116.5,33.3,1.9
2012,8,Management occupations,High,High,1728.5,1700.4,1586.2,114.1,28.1,1.6
2012,9,Management occupations,High,High,1742.9,1711.3,1585,126.3,31.6,1.8
2012,10,Management occupations,High,High,1746.6,1713.2,1584.8,128.4,33.4,1.9
2012,11,Management occupations,High,High,1711.8,1674.3,1552.3,122,37.6,2.2
2012,12,Management occupations,High,High,1727.5,1692.7,1572.1,120.6,34.8,2
2013,1,Management occupations,High,High,1705.1,1667.6,1536.1,131.5,37.5,2.2
2013,2,Management occupations,High,High,1681.6,1643.2,1518.8,124.3,38.5,2.3
2013,3,Management occupations,High,High,1679.1,1638.3,1519.8,118.5,40.7,2.4
2013,4,Management occupations,High,High,1700.3,1660.2,1541.4,118.8,40.1,2.4
2013,5,Management occupations,High,High,1694,1646.4,1519,127.4,47.5,2.8
2013,6,Management occupations,High,High,1667.3,1623.1,1495.5,127.6,44.2,2.7
2013,7,Management occupations,High,High,1644.9,1609.3,1491.6,117.7,35.6,2.2
2013,8,Management occupations,High,High,1656.4,1621.8,1504.7,117.2,34.6,2.1
2013,9,Management occupations,High,High,1651,1616.6,1501.5,115.1,34.4,2.1
2013,10,Management occupations,High,High,1634.9,1607.9,1484,123.9,27,1.7
2013,11,Management occupations,High,High,1647.9,1617.3,1501.5,115.8,30.6,1.9
2013,12,Management occupations,High,High,1632.2,1592,1476.4,115.6,40.2,2.5
2014,1,Management occupations,High,High,1677.4,1640.5,1518.4,122.1,36.8,2.2
2014,2,Management occupations,High,High,1665.1,1622.9,1502.5,120.4,42.2,2.5
2014,3,Management occupations,High,High,1656.2,1616.2,1488.8,127.3,40,2.4
2014,4,Management occupations,High,High,1635.2,1595.4,1483.2,112.2,39.9,2.4
2014,5,Management occupations,High,High,1617.7,1578.8,1455.3,123.4,38.9,2.4
2014,6,Management occupations,High,High,1626.6,1603.8,1490.1,113.8,22.8,1.4
2014,7,Management occupations,High,High,1559.4,1530.6,1423.6,107,28.8,1.8
2014,8,Management occupations,High,High,1565.6,1533.5,1428.1,105.4,32.1,2.1
2014,9,Management occupations,High,High,1595.1,1574.1,1456.3,117.8,20.9,1.3
2014,10,Management occupations,High,High,1577.4,1551.1,1429.2,121.9,26.2,1.7
2014,11,Management occupations,High,High,1574.7,1540.5,1413.1,127.4,34.2,2.2
2014,12,Management occupations,High,High,1550.9,1524.2,1384.7,139.5,26.7,1.7
2015,1,Management occupations,High,High,1527.5,1500.3,1371.3,128.9,27.2,1.8
2015,2,Management occupations,High,High,1538.6,1508.1,1384.1,124,30.5,2
2015,3,Management occupations,High,High,1553.6,1525.5,1403.7,121.8,28.1,1.8
2015,4,Management occupations,High,High,1597.9,1568.3,1445.2,123.1,29.6,1.9
2015,5,Management occupations,High,High,1597,1561,1435.8,125.1,36.1,2.3
2015,6,Management occupations,High,High,1637.4,1604.1,1491.4,112.8,33.2,2
2015,7,Management occupations,High,High,1643.4,1612.8,1494.7,118.1,30.6,1.9
2015,8,Management occupations,High,High,1648.2,1608.9,1477.3,131.6,39.3,2.4
2015,9,Management occupations,High,High,1636.1,1603.9,1477.4,126.5,32.1,2
2015,10,Management occupations,High,High,1612.3,1579.8,1465.6,114.2,32.4,2
2015,11,Management occupations,High,High,1644.6,1618.6,1495.7,123,25.9,1.6
2015,12,Management occupations,High,High,1609.9,1582.1,1456.6,125.5,27.8,1.7
2016,1,Management occupations,High,High,1614.3,1579.6,1451.5,128.1,34.7,2.1
2016,2,Management occupations,High,High,1597.6,1565.7,1438.6,127,31.9,2
2016,3,Management occupations,High,High,1574.6,1537.1,1414.9,122.2,37.5,2.4
2016,4,Management occupations,High,High,1578.8,1537.7,1422.2,115.6,41.1,2.6
2016,5,Management occupations,High,High,1593.1,1561.1,1456.6,104.5,32,2
2016,6,Management occupations,High,High,1600.3,1564.1,1463.3,100.8,36.2,2.3
2016,7,Management occupations,High,High,1614.8,1577.8,1474.7,103.1,37,2.3
2016,8,Management occupations,High,High,1626.9,1587.9,1477.2,110.7,39,2.4
2016,9,Management occupations,High,High,1648.6,1604.8,1492.6,112.1,43.8,2.7
2016,10,Management occupations,High,High,1623.5,1584.4,1466.8,117.6,39.2,2.4
2016,11,Management occupations,High,High,1610,1582.1,1459.4,122.8,27.9,1.7
2016,12,Management occupations,High,High,1585,1552.2,1424.2,128,32.8,2.1
2017,1,Management occupations,High,High,1658.9,1623.8,1491.7,132.1,35.1,2.1
2017,2,Management occupations,High,High,1668.9,1637.6,1499,138.6,31.3,1.9
2017,3,Management occupations,High,High,1641.4,1612.3,1480.1,132.2,29.1,1.8
2017,4,Management occupations,High,High,1672.4,1639.7,1510.2,129.5,32.7,2
2017,5,Management occupations,High,High,1648.2,1619.5,1497.3,122.1,28.8,1.7
2017,6,Management occupations,High,High,1669,1638.5,1502.9,135.6,30.5,1.8
2017,7,Management occupations,High,High,1696.6,1671.7,1530.5,141.2,24.9,1.5
2017,8,Management occupations,High,High,1712.6,1685.8,1543.3,142.5,26.9,1.6
2017,9,Management occupations,High,High,1703.7,1675.9,1540.1,135.7,27.9,1.6
2017,10,Management occupations,High,High,1726.5,1695.8,1564.2,131.6,30.7,1.8
2017,11,Management occupations,High,High,1798.7,1762.5,1608.6,153.9,36.2,2
2017,12,Management occupations,High,High,1778.4,1750.4,1592.6,157.8,28,1.6
2018,1,Management occupations,High,High,1758.1,1731.2,1584.3,146.9,26.9,1.5
2018,2,Management occupations,High,High,1732.8,1702.1,1555.7,146.4,30.7,1.8
2018,3,Management occupations,High,High,1733.4,1704.9,1568.3,136.6,28.5,1.6
2018,4,Management occupations,High,High,1699.2,1667.2,1539.3,127.9,32.1,1.9
2018,5,Management occupations,High,High,1695.8,1669,1544.4,124.7,26.8,1.6
2018,6,Management occupations,High,High,1670,1651.1,1531.6,119.4,19,1.1
2018,7,Management occupations,High,High,1635.2,1611.2,1487.9,123.2,24,1.5
2018,8,Management occupations,High,High,1637.3,1604.5,1480.7,123.8,32.8,2
2018,9,Management occupations,High,High,1686.1,1654.2,1521.4,132.8,31.9,1.9
2018,10,Management occupations,High,High,1680.8,1654.4,1521.8,132.6,26.4,1.6
2018,11,Management occupations,High,High,1713.4,1682.1,1545.5,136.5,31.3,1.8
2018,12,Management occupations,High,High,1719.4,1687.2,1543.9,143.3,32.2,1.9
2019,1,Management occupations,High,High,1678.4,1647,1504.6,142.5,31.4,1.9
2019,2,Management occupations,High,High,1672.6,1646.7,1514,132.7,25.9,1.5
2019,3,Management occupations,High,High,1679.8,1645.6,1503.2,142.4,34.2,2
2019,4,Management occupations,High,High,1706.8,1669.3,1523.3,146,37.5,2.2
2019,5,Management occupations,High,High,1699.5,1671.5,1530.7,140.7,28,1.6
2019,6,Management occupations,High,High,1726.5,1695.7,1560.3,135.4,30.8,1.8
2019,7,Management occupations,High,High,1771.3,1746.4,1609.6,136.8,24.9,1.4
2019,8,Management occupations,High,High,1755.8,1724.2,1594.4,129.9,31.6,1.8
2019,9,Management occupations,High,High,1761.5,1730.3,1594.5,135.8,31.2,1.8
2019,10,Management occupations,High,High,1746.4,1717.7,1584,133.6,28.8,1.6
2019,11,Management occupations,High,High,1726,1695.1,1562.1,133,31,1.8
2019,12,Management occupations,High,High,1726,1699.1,1548.3,150.8,26.9,1.6
2020,1,Management occupations,High,High,1723.3,1699.1,1569.2,129.8,24.2,1.4
2020,2,Management occupations,High,High,1716.9,1684.2,1553.1,131.1,32.7,1.9
2020,3,Management occupations,High,High,1713.7,1660.6,1528,132.6,53,3.1
2020,4,Management occupations,High,High,1710.8,1636.1,1515.4,120.8,74.7,4.4
2020,5,Management occupations,High,High,1684.7,1603.6,1472.5,131.1,81.1,4.8
2020,6,Management occupations,High,High,1729.2,1666.2,1531.7,134.6,62.9,3.6
2020,7,Management occupations,High,High,1694.1,1629.3,1487,142.3,64.8,3.8
2020,8,Management occupations,High,High,1667.5,1609.7,1470.9,138.8,57.8,3.5
2020,9,Management occupations,High,High,1686,1624.9,1490.5,134.4,61.1,3.6
2020,10,Management occupations,High,High,1670.1,1627.9,1483.2,144.7,42.2,2.5
2020,11,Management occupations,High,High,1676,1639.6,1495.8,143.9,36.4,2.2
2020,12,Management occupations,High,High,1683.1,1646.4,1507.6,138.7,36.8,2.2
2021,1,Management occupations,High,High,1696,1654.7,1502.2,152.4,41.3,2.4
2021,2,Management occupations,High,High,1654.8,1615.9,1470.2,145.6,39,2.4
2021,3,Management occupations,High,High,1650.6,1612.6,1465.3,147.3,38,2.3
2021,4,Management occupations,High,High,1647,1612.9,1468.9,144,34.1,2.1
2021,5,Management occupations,High,High,1593.7,1564.1,1417.4,146.8,29.6,1.9
2021,6,Management occupations,High,High,1655.4,1632.4,1494.1,138.2,23,1.4
2021,7,Management occupations,High,High,1678,1659.4,1514.8,144.6,18.6,1.1
2021,8,Management occupations,High,High,1674.7,1654.3,1525.2,129.1,20.5,1.2
2021,9,Management occupations,High,High,1694.1,1670.4,1542.7,127.7,23.7,1.4
2021,10,Management occupations,High,High,1697.7,1671.8,1537.7,134.1,25.9,1.5
2021,11,Management occupations,High,High,1746.1,1722.7,1578.3,144.4,23.4,1.3
2021,12,Management occupations,High,High,1738.5,1720.2,1585.4,134.9,18.3,1.1
2022,1,Management occupations,High,High,1763.2,1742.9,1603.9,139,20.3,1.2
2022,2,Management occupations,High,High,1790.8,1766.8,1625.3,141.5,23.9,1.3
2022,3,Management occupations,High,High,1786.5,1765.7,1628.7,137.1,20.8,1.2
2022,4,Management occupations,High,High,1781,1754.5,1640.2,114.3,26.6,1.5
2022,5,Management occupations,High,High,1812.1,1794.8,1678.7,116.1,17.3,1
2022,6,Management occupations,High,High,1849.7,1830.7,1711.9,118.8,19,1
2022,7,Management occupations,High,High,1881.3,1858.1,1737.6,120.5,23.3,1.2
2022,8,Management occupations,High,High,1913.5,1881.7,1767.7,114,31.9,1.7
2022,9,Management occupations,High,High,1918.4,1898.5,1784.1,114.4,19.8,1
2022,10,Management occupations,High,High,1931.4,1911.4,1784.1,127.3,20,1
2022,11,Management occupations,High,High,1936.3,1916.8,1790.9,126,19.4,1
2022,12,Management occupations,High,High,1908,1887.3,1757.1,130.3,20.7,1.1
2023,1,Management occupations,High,High,1934.7,1899.5,1762.6,136.9,35.2,1.8
2023,2,Management occupations,High,High,1945.4,1914.6,1783.7,130.9,30.8,1.6
2023,3,Management occupations,High,High,1940,1905.6,1787.7,117.9,34.5,1.8
2023,4,Management occupations,High,High,1958.6,1929.2,1794.7,134.5,29.4,1.5
2023,5,Management occupations,High,High,1987.1,1958.4,1831.6,126.7,28.7,1.4
2023,6,Management occupations,High,High,2011.9,1981.7,1853.3,128.4,30.2,1.5
2023,7,Management occupations,High,High,2026.6,2005.4,1881.9,123.6,21.1,1
2023,8,Management occupations,High,High,2086.9,2059.4,1918.1,141.3,27.5,1.3
2023,9,Management occupations,High,High,2103.2,2066.9,1937.2,129.7,36.3,1.7
2023,10,Management occupations,High,High,2076.3,2035.3,1899.7,135.5,41,2
2023,11,Management occupations,High,High,2101.7,2060.4,1924.2,136.2,41.3,2
2023,12,Management occupations,High,High,2157.2,2109.8,1964.3,145.5,47.4,2.2
2024,1,Management occupations,High,High,2171.5,2119.9,1974,145.8,51.6,2.4
2024,2,Management occupations,High,High,2166.8,2118,1977.5,140.5,48.8,2.3
2024,3,Management occupations,High,High,2183.6,2133.2,1975.9,157.3,50.4,2.3
2024,4,Management occupations,High,High,2140.5,2107.4,1957.1,150.3,33.1,1.5
2024,5,Management occupations,High,High,2128.1,2091.7,1947.2,144.5,36.4,1.7
2024,6,Management occupations,High,High,2074.1,2040,1900.4,139.6,34.1,1.6
2024,7,Management occupations,High,High,2095.4,2051.1,1918.6,132.5,44.3,2.1
2024,8,Management occupations,High,High,2067.1,2016.2,1883.2,133,50.9,2.5
2024,9,Management occupations,High,High,2060.5,2010.4,1884.7,125.6,50.1,2.4
2024,10,Management occupations,High,High,2099.4,2040,1917.6,122.5,59.3,2.8
2024,11,Management occupations,High,High,2129.6,2083.9,1947.5,136.4,45.7,2.1
2024,12,Management occupations,High,High,2098.8,2060.6,1931.9,128.7,38.1,1.8
2025,1,Management occupations,High,High,2103.7,2049,1909.1,140,54.6,2.6
2025,2,Management occupations,High,High,2129.1,2077.6,1933.1,144.5,51.6,2.4
2025,3,Management occupations,High,High,2062.2,2011.1,1861.9,149.3,51,2.5
2025,4,Management occupations,High,High,2094.9,2050.8,1905.9,144.9,44.1,2.1
2025,5,Management occupations,High,High,2095.5,2050.3,1919.3,131,45.1,2.2
2025,6,Management occupations,High,High,2089.6,2045.5,1912.2,133.3,44.1,2.1
2025,7,Management occupations,High,High,2076.4,2037.3,1914.5,122.9,39,1.9
2025,8,Management occupations,High,High,2081.3,2035,1907.7,127.3,46.3,2.2
2025,9,Management occupations,High,High,2075.9,2035.2,1900.3,134.9,40.6,2
2010,1,"Business, finance and administration occupations",High,High,2726.7,2601.4,2179,422.4,125.2,4.6
2010,2,"Business, finance and administration occupations",High,High,2705.7,2590.4,2169.2,421.2,115.2,4.3
2010,3,"Business, finance and administration occupations",High,High,2714.5,2593.8,2157.4,436.4,120.8,4.5
2010,4,"Business, finance and administration occupations",High,High,2751.3,2652.5,2215.2,437.3,98.8,3.6
2010,5,"Business, finance and administration occupations",High,High,2800.2,2687.1,2252.7,434.4,113.1,4
2010,6,"Business, finance and administration occupations",High,High,2841.8,2732.1,2317.8,414.3,109.7,3.9
2010,7,"Business, finance and administration occupations",High,High,2831.8,2709.5,2285.9,423.6,122.4,4.3
2010,8,"Business, finance and administration occupations",High,High,2883,2760.2,2336.3,423.9,122.7,4.3
2010,9,"Business, finance and administration occupations",High,High,2766.5,2664.4,2221.3,443.1,102.1,3.7
2010,10,"Business, finance and administration occupations",High,High,2748.1,2643.5,2195.7,447.8,104.6,3.8
2010,11,"Business, finance and administration occupations",High,High,2763.8,2669.9,2220.7,449.2,93.9,3.4
2010,12,"Business, finance and administration occupations",High,High,2750.1,2661.3,2220,441.3,88.8,3.2
2011,1,"Business, finance and administration occupations",High,High,2792.4,2686.4,2245.9,440.5,106,3.8
2011,2,"Business, finance and administration occupations",High,High,2812.2,2714.8,2282.1,432.6,97.5,3.5
2011,3,"Business, finance and administration occupations",High,High,2842.5,2741.8,2294.2,447.6,100.6,3.5
2011,4,"Business, finance and administration occupations",High,High,2876.7,2775.2,2318.3,456.9,101.5,3.5
2011,5,"Business, finance and administration occupations",High,High,2879.8,2775.4,2339.3,436.1,104.4,3.6
2011,6,"Business, finance and administration occupations",High,High,2879.6,2774,2338.3,435.7,105.6,3.7
2011,7,"Business, finance and administration occupations",High,High,2830.2,2721.4,2327,394.5,108.8,3.8
2011,8,"Business, finance and administration occupations",High,High,2867.2,2748.1,2342.2,405.9,119.2,4.2
2011,9,"Business, finance and administration occupations",High,High,2800.7,2694.6,2282.4,412.1,106.1,3.8
2011,10,"Business, finance and administration occupations",High,High,2803.4,2699.3,2263.5,435.8,104.1,3.7
2011,11,"Business, finance and administration occupations",High,High,2777.2,2681.3,2235.8,445.5,95.9,3.5
2011,12,"Business, finance and administration occupations",High,High,2758.1,2669,2232.7,436.2,89.2,3.2
2012,1,"Business, finance and administration occupations",High,High,2754,2647,2213.5,433.5,107,3.9
2012,2,"Business, finance and administration occupations",High,High,2773.5,2674.1,2223.1,450.9,99.4,3.6
2012,3,"Business, finance and administration occupations",High,High,2795.8,2702.1,2271.2,430.9,93.7,3.4
2012,4,"Business, finance and administration occupations",High,High,2761.5,2656,2241.7,414.3,105.5,3.8
2012,5,"Business, finance and administration occupations",High,High,2785.6,2667.8,2271.5,396.3,117.8,4.2
2012,6,"Business, finance and administration occupations",High,High,2852.8,2750.3,2323.1,427.2,102.5,3.6
2012,7,"Business, finance and administration occupations",High,High,2867.1,2760.1,2369.9,390.2,107,3.7
2012,8,"Business, finance and administration occupations",High,High,2838.3,2727.9,2342,385.9,110.4,3.9
2012,9,"Business, finance and administration occupations",High,High,2791.7,2688.2,2290.4,397.9,103.5,3.7
2012,10,"Business, finance and administration occupations",High,High,2787.8,2695,2286.3,408.7,92.8,3.3
2012,11,"Business, finance and administration occupations",High,High,2828.9,2737.4,2305,432.4,91.5,3.2
2012,12,"Business, finance and administration occupations",High,High,2782.6,2691.7,2273.8,418,90.9,3.3
2013,1,"Business, finance and administration occupations",High,High,2794,2694.2,2278.4,415.7,99.9,3.6
2013,2,"Business, finance and administration occupations",High,High,2852.8,2749.3,2308.9,440.4,103.5,3.6
2013,3,"Business, finance and administration occupations",High,High,2837.5,2733.7,2303.8,429.9,103.8,3.7
2013,4,"Business, finance and administration occupations",High,High,2844.1,2745.3,2310.5,434.8,98.9,3.5
2013,5,"Business, finance and administration occupations",High,High,2852.7,2738.9,2338.8,400.1,113.9,4
2013,6,"Business, finance and administration occupations",High,High,2834.9,2706.6,2311.3,395.4,128.3,4.5
2013,7,"Business, finance and administration occupations",High,High,2845.6,2730,2352.4,377.6,115.6,4.1
2013,8,"Business, finance and administration occupations",High,High,2829.9,2714.4,2332.3,382,115.5,4.1
2013,9,"Business, finance and administration occupations",High,High,2751.5,2653.6,2254.5,399.1,98,3.6
2013,10,"Business, finance and administration occupations",High,High,2795.5,2699.3,2298.5,400.8,96.3,3.4
2013,11,"Business, finance and administration occupations",High,High,2787.3,2692.8,2284.7,408.1,94.5,3.4
2013,12,"Business, finance and administration occupations",High,High,2782.2,2693.1,2286.8,406.3,89,3.2
2014,1,"Business, finance and administration occupations",High,High,2798.1,2695.8,2281,414.7,102.3,3.7
2014,2,"Business, finance and administration occupations",High,High,2825,2737,2301.5,435.6,87.9,3.1
2014,3,"Business, finance and administration occupations",High,High,2853.9,2759.7,2320.8,438.9,94.2,3.3
2014,4,"Business, finance and administration occupations",High,High,2810.6,2721.9,2280.3,441.6,88.7,3.2
2014,5,"Business, finance and administration occupations",High,High,2802.3,2681.4,2255,426.4,121,4.3
2014,6,"Business, finance and administration occupations",High,High,2800.5,2691.6,2287.2,404.4,108.9,3.9
2014,7,"Business, finance and administration occupations",High,High,2785.3,2678.5,2272.7,405.8,106.9,3.8
2014,8,"Business, finance and administration occupations",High,High,2786.6,2678.8,2282.7,396.1,107.8,3.9
2014,9,"Business, finance and administration occupations",High,High,2744.2,2642.1,2217.2,424.9,102.1,3.7
2014,10,"Business, finance and administration occupations",High,High,2796.6,2696.5,2269.6,426.9,100.1,3.6
2014,11,"Business, finance and administration occupations",High,High,2834,2734,2284.1,450,100,3.5
2014,12,"Business, finance and administration occupations",High,High,2811.3,2716.1,2281.7,434.4,95.1,3.4
2015,1,"Business, finance and administration occupations",High,High,2851,2749.1,2302.7,446.4,101.8,3.6
2015,2,"Business, finance and administration occupations",High,High,2867.8,2768.4,2332.9,435.5,99.4,3.5
2015,3,"Business, finance and administration occupations",High,High,2817.4,2715.8,2295.2,420.6,101.6,3.6
2015,4,"Business, finance and administration occupations",High,High,2765.1,2663.7,2259.1,404.5,101.5,3.7
2015,5,"Business, finance and administration occupations",High,High,2829.8,2722.1,2314.2,407.9,107.7,3.8
2015,6,"Business, finance and administration occupations",High,High,2824.7,2731.2,2346.9,384.3,93.5,3.3
2015,7,"Business, finance and administration occupations",High,High,2837.6,2736.1,2355.3,380.8,101.5,3.6
2015,8,"Business, finance and administration occupations",High,High,2897,2784.9,2388.4,396.4,112.1,3.9
2015,9,"Business, finance and administration occupations",High,High,2833,2735,2315.8,419.3,98,3.5
2015,10,"Business, finance and administration occupations",High,High,2846.6,2744.4,2295.3,449.1,102.2,3.6
2015,11,"Business, finance and administration occupations",High,High,2839.5,2740.2,2308.2,432,99.3,3.5
2015,12,"Business, finance and administration occupations",High,High,2843.4,2758.9,2345.6,413.4,84.5,3
2016,1,"Business, finance and administration occupations",High,High,2813.3,2710.8,2294.6,416.2,102.5,3.6
2016,2,"Business, finance and administration occupations",High,High,2830.2,2734.8,2281.7,453.1,95.4,3.4
2016,3,"Business, finance and administration occupations",High,High,2852.5,2758.1,2332.2,425.9,94.3,3.3
2016,4,"Business, finance and administration occupations",High,High,2840.5,2736.6,2328,408.6,104,3.7
2016,5,"Business, finance and administration occupations",High,High,2868.6,2761.9,2352.1,409.8,106.7,3.7
2016,6,"Business, finance and administration occupations",High,High,2870.8,2769.3,2380.5,388.8,101.5,3.5
2016,7,"Business, finance and administration occupations",High,High,2868.1,2756.9,2361.2,395.7,111.2,3.9
2016,8,"Business, finance and administration occupations",High,High,2854.5,2731.7,2328.3,403.4,122.7,4.3
2016,9,"Business, finance and administration occupations",High,High,2792.8,2698.1,2268,430.1,94.7,3.4
2016,10,"Business, finance and administration occupations",High,High,2859.6,2757.8,2304.5,453.3,101.7,3.6
2016,11,"Business, finance and administration occupations",High,High,2867.7,2765.8,2311.6,454.2,101.9,3.6
2016,12,"Business, finance and administration occupations",High,High,2861.6,2761.7,2300.9,460.8,99.9,3.5
2017,1,"Business, finance and administration occupations",High,High,2870.1,2773,2307.1,465.9,97.1,3.4
2017,2,"Business, finance and administration occupations",High,High,2882.5,2781.6,2330.2,451.5,100.8,3.5
2017,3,"Business, finance and administration occupations",High,High,2845.6,2749.8,2297.3,452.5,95.8,3.4
2017,4,"Business, finance and administration occupations",High,High,2836.3,2736.2,2290.7,445.5,100.1,3.5
2017,5,"Business, finance and administration occupations",High,High,2881.3,2775.4,2342.4,433,105.9,3.7
2017,6,"Business, finance and administration occupations",High,High,2926.3,2824.1,2382.5,441.6,102.2,3.5
2017,7,"Business, finance and administration occupations",High,High,2949.9,2839.8,2398.5,441.3,110.1,3.7
2017,8,"Business, finance and administration occupations",High,High,2908.7,2801.8,2384.4,417.4,106.8,3.7
2017,9,"Business, finance and administration occupations",High,High,2889,2798.9,2361.3,437.6,90.1,3.1
2017,10,"Business, finance and administration occupations",High,High,2920.8,2841.8,2392.8,449,79.1,2.7
2017,11,"Business, finance and administration occupations",High,High,2896.2,2804.6,2339,465.6,91.6,3.2
2017,12,"Business, finance and administration occupations",High,High,2919.3,2829.4,2361.9,467.5,89.9,3.1
2018,1,"Business, finance and administration occupations",High,High,2915.9,2830.5,2388.6,441.9,85.3,2.9
2018,2,"Business, finance and administration occupations",High,High,2949.6,2865.2,2402.2,463,84.4,2.9
2018,3,"Business, finance and administration occupations",High,High,2949.2,2861.4,2427.9,433.5,87.8,3
2018,4,"Business, finance and administration occupations",High,High,2988.8,2910.9,2485.5,425.4,77.9,2.6
2018,5,"Business, finance and administration occupations",High,High,3013.8,2924.2,2524.3,400,89.6,3
2018,6,"Business, finance and administration occupations",High,High,3031.9,2944.6,2542.6,401.9,87.3,2.9
2018,7,"Business, finance and administration occupations",High,High,2976,2882.2,2493.4,388.8,93.8,3.2
2018,8,"Business, finance and administration occupations",High,High,2954.7,2842.1,2456.8,385.3,112.6,3.8
2018,9,"Business, finance and administration occupations",High,High,2914.7,2818.3,2402.9,415.4,96.4,3.3
2018,10,"Business, finance and administration occupations",High,High,2887.4,2793.1,2375.2,417.9,94.3,3.3
2018,11,"Business, finance and administration occupations",High,High,2881.5,2792.6,2377.3,415.3,88.8,3.1
2018,12,"Business, finance and administration occupations",High,High,2870.4,2787,2336.7,450.3,83.4,2.9
2019,1,"Business, finance and administration occupations",High,High,2891.7,2802.2,2351.6,450.6,89.5,3.1
2019,2,"Business, finance and administration occupations",High,High,2966.4,2880.9,2414.9,466,85.4,2.9
2019,3,"Business, finance and administration occupations",High,High,2969.5,2888.9,2419.5,469.4,80.6,2.7
2019,4,"Business, finance and administration occupations",High,High,2969.9,2898,2436.4,461.6,71.9,2.4
2019,5,"Business, finance and administration occupations",High,High,3027.9,2948.8,2516.7,432.1,79.1,2.6
2019,6,"Business, finance and administration occupations",High,High,3071.8,2987.4,2578.2,409.2,84.3,2.7
2019,7,"Business, finance and administration occupations",High,High,3020.8,2927.8,2553,374.8,93,3.1
2019,8,"Business, finance and administration occupations",High,High,3049.5,2952,2568.3,383.7,97.5,3.2
2019,9,"Business, finance and administration occupations",High,High,2984.3,2904.7,2472.1,432.6,79.6,2.7
2019,10,"Business, finance and administration occupations",High,High,2994.3,2926,2472.2,453.7,68.3,2.3
2019,11,"Business, finance and administration occupations",High,High,3034,2952.4,2498.4,454,81.6,2.7
2019,12,"Business, finance and administration occupations",High,High,3024.9,2954.1,2509.7,444.4,70.8,2.3
2020,1,"Business, finance and administration occupations",High,High,3033.9,2949.8,2506.7,443.1,84.1,2.8
2020,2,"Business, finance and administration occupations",High,High,3028.9,2934.4,2496.2,438.2,94.5,3.1
2020,3,"Business, finance and administration occupations",High,High,3076.9,2928.7,2511.8,416.9,148.2,4.8
2020,4,"Business, finance and administration occupations",High,High,2940.5,2660.9,2330.8,330.1,279.6,9.5
2020,5,"Business, finance and administration occupations",High,High,3042.1,2736.6,2415.5,321.1,305.6,10
2020,6,"Business, finance and administration occupations",High,High,3059,2814.4,2440,374.4,244.6,8
2020,7,"Business, finance and administration occupations",High,High,3105.1,2895.6,2506.5,389.1,209.5,6.7
2020,8,"Business, finance and administration occupations",High,High,3124.1,2891.6,2494.9,396.7,232.4,7.4
